Name,DateOfBirth,Gender
Tom Cruise,1962-07-03 09:53:21.000,Male
Sam Neill,1947-09-14 00:00:00.000,Male
Laura Dern,1967-02-10 00:00:00.000,Female
Jeff Goldblum,1952-10-22 00:00:00.000,Male
Richard Attenborough,1923-08-29 00:00:00.000,Male
Samuel L. Jackson,1948-12-21 00:00:00.000,Male
Tobey Maguire,1975-06-27 00:00:00.000,Male
Willem Dafoe,1955-07-22 00:00:00.000,Male
Kirsten Dunst,1982-04-30 00:00:00.000,Female
Naomi Watts,1968-09-28 00:00:00.000,Female
Jack Black,1969-08-28 00:00:00.000,Male
Adrien Brody,1973-04-14 00:00:00.000,Male
Andy Serkis,1964-04-20 00:00:00.000,Male
Brandon Routh,1979-10-09 00:00:00.000,Male
Kate Bosworth,1983-01-02 00:00:00.000,Female
Kevin Spacey,1959-07-26 00:00:00.000,Male
Leonardo DiCaprio,1974-11-11 00:00:00.000,Male
Kate Winslet,1975-10-05 00:00:00.000,Female
Billy Zane,1966-02-24 00:00:00.000,Male
Bill Paxton,1955-05-17 00:00:00.000,Male
Steve Carell,1962-08-16 00:00:00.000,Male
Morgan Freeman,1937-06-01 00:00:00.000,Male
Kevin Costner,1955-01-18 00:00:00.000,Male
Dennis Hopper,1936-05-17 00:00:00.000,Male
Ben Affleck,1972-08-15 00:00:00.000,Male
Josh Hartnett,1978-07-21 00:00:00.000,Male
Kate Beckinsale,1973-07-26 00:00:00.000,Female
Cuba Gooding Jr.,1968-01-02 00:00:00.000,Male
Jon Voight,1938-12-29 00:00:00.000,Male
Alec Baldwin,1958-04-03 00:00:00.000,Male
Tom Sizemore,1961-11-29 00:00:00.000,Male
Dan Aykroyd,1952-07-01 00:00:00.000,Male
Shia LaBeouf,1986-06-11 00:00:00.000,Male
John Turturro,1957-02-28 00:00:00.000,Male
Peter Cullen,NULL,Male
Hugo Weaving,1960-04-04 00:00:00.000,Male
Megan Fox,1986-05-16 00:00:00.000,Female
Daniel Radcliffe,1989-07-23 00:00:00.000,Male
Ralph Fiennes,1962-12-22 00:00:00.000,Male
Brendan Gleeson,1955-03-29 00:00:00.000,Male
Gary Oldman,1958-03-21 00:00:00.000,Male
Michael Gambon,1940-10-19 00:00:00.000,Male
Alan Rickman,1946-02-21 00:00:00.000,Male
Emma Thompson,1959-04-15 00:00:00.000,Female
Helena Bonham Carter,1966-05-26 00:00:00.000,Female
Robbie Coltrane,1950-03-30 00:00:00.000,Male
Emma Watson,1990-04-15 00:00:00.000,Female
Rupert Grint,1988-08-24 00:00:00.000,Male
Robin Wright Penn,1966-04-08 00:00:00.000,Female
Anthony Hopkins,1937-12-31 00:00:00.000,Male
John Malkovich,1953-12-09 00:00:00.000,Male
Ray Winstone,1957-02-19 00:00:00.000,Male
Angelina Jolie,1975-06-04 00:00:00.000,Female
John Goodman,1952-06-20 00:00:00.000,Male
Jerry Seinfeld,1954-04-29 00:00:00.000,Male
