MovieId,ActorID,CharacterName
33,1,Ray Ferrier
1,2,Dr. Alan Grant
1,3,Dr. Ellie Sattler
1,4,Dr. Ian Malcolm
1,5,John Hammond
1,6,Ray Arnold
2,7,Peter Parker
2,8,Norman Osborn
2,9,Mary Jane Watson
3,10,Ann Darrow
3,11,Carl Denham
3,12,Jack Driscoll
3,13,Kong
5,14,Clark Kent
5,15,Lois Lane
5,16,Lex Luthor
6,17,Jack Dawson
6,18,Rose DeWitt Bukater
6,19,Caledon 'Cal' Hockley
6,20,Brock Lovett
7,21,Evan Baxter
7,22,God
8,23,Mariner
8,24,Deacon
8,11,Pilot
9,25,Captain Rafe McCawley
9,26,Captain Danny Walker
9,27,Nurse Lt. Evelyn Johnson
9,28,Petty Officer Doris Miller
9,29,President Franklin Delano Roosevelt
9,30,Lt. Col. James Doolittle
9,31,Sgt. Earl Sistern
9,32,Captain Thurman
10,33,Sam Witwicky
10,37,Mikaela Banes
10,29,Defense Secretary John Keller
10,34,Agent Simmons
10,35,Optimus Prime
10,36,Megatron
11,38,Harry Potter
11,39,Lord Voldemort
11,40,Alastor 'Mad-Eye' Moody
11,41,Sirius Black
11,47,Hermione Granger
11,48,Ron Weasley
11,42,Albus Dumbledore
11,43,Severus Snape
11,44,Sybil Trelawney
11,45,Bellatrix Lestrange
11,46,Rubeus Hagrid
12,49,Wealthow
12,50,Hrothgar
12,51,Unferth
12,52,Beowulf
12,40,Wiglaf
12,53,Grendel's Mother
7,54,Congressman Long
13,55,Barry B. Benson
13,56,Vanessa Bloome
13,57,Adam Flayman
13,54,Layton T. Montgomery
13,58,Mooseblood
13,59,Ray Liotta
13,60,Lou Lo Duca
14,61,Captain Jack Sparrow
14,62,Captain Barbossa
14,63,Will Turner
14,64,Elizabeth Swann
14,65,Davy Jones
14,66,Governor Weatherby Swann
14,67,'Bootstrap' Bill Turner
15,68,Robert Neville
15,44,Dr. Alice Krippin
16,69,Remy
16,70,Skinner
16,71,Django
16,72,Anton Ego
17,73,Agamemnon
17,75,Achilles
17,40,Menelaus
17,76,Helen
17,77,Hector
17,63,Paris
18,38,Harry Potter
18,47,Hermione Granger
18,48,Ron Weasley
18,46,Rubeus Hagrid
18,42,Albus Dumbledore
18,43,Severus Snape
18,40,Professor Alastor 'Mad­Eye' Moody
18,41,Sirius Black
18,39,Lord Voldemort
19,78,Bruce Wayne
19,79,Alfred
19,80,Henri Ducard
19,81,Rachel Dawes
19,41,Jim Gordon
19,82,Earle
19,83,Ra's Al Ghul
19,22,Lucius Fox
20,61,Willy Wonka
20,45,Mrs. Bucket
20,84,Mr. Salt
20,85,Dr. Wonka
21,61,Captain Jack Sparrow
21,63,Will Turner
21,64,Elizabeth Swann
21,65,Davy Jones
21,66,Governor Weatherby Swann
21,67,'Bootstrap' Bill Turner
22,86,James Bond
22,89,M
22,90,R
22,87,Jinx
22,88,Miranda Frost
22,91,Damian Falco
22,92,Miss Moneypenny
23,93,Martin Riggs
23,94,Roger Murtaugh
23,95,Leo Getz
23,96,Lorna Cole
23,58,Detective Lee Butters
23,97,Wah Sing Ku
24,98,Harry S. Stamper
24,99,Dan Truman
24,25,A.J. Frost
24,100,Grace Stamper
