Id,Title,ReleaseDate,DirectorId,LanguageId,CountryId,StudioId,Synopsis,RunTimeMinutes,ClassificationId,BudgetDollars,BoxOfficeDollars,OscarNominations,OscarWins
1,Jurassic Park,1993-07-16 00:00:00.000,4,1,241,1,Scientists clone dinosaurs to populate a theme park which suffers a major security breakdown and releases the dinosaurs.,127,2,63000000,920100000,3,3
2,Spider-Man,2002-06-14 00:00:00.000,11,1,241,5,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",121,4,139000000,821606375,2,0
3,King Kong,2005-12-15 00:00:00.000,12,1,241,1,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow.",187,4,207000000,550316796,4,3
5,Superman Returns,2006-07-16 00:00:00.000,14,1,241,6,"After a long visit to the lost remains of the planet Krypton, the Man of Steel returns to earth to become the peoples savior once again and reclaim the love of Lois Lane.",154,4,204000000,391120000,1,0
6,Titanic,1998-01-23 00:00:00.000,15,1,241,4,Fictional romantic tale of a rich girl and poor boy who meet on the ill-fated voyage of the 'unsinkable' ship.,194,3,200000000,1835400000,14,11
7,Evan Almighty,2007-08-03 00:00:00.000,16,1,241,1,God (Freeman) contacts Congressman Evan Baxter (Carell) and tells him to build an ark in preparation for a great flood.,95,2,175000000,173219280,0,0
8,Waterworld,1995-08-11 00:00:00.000,17,1,241,1,"In a future where the polar ice caps have melted and most of Earth is underwater, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl find dry land.",136,3,175000000,264246220,1,0
9,Pearl Harbor,2001-06-01 00:00:00.000,18,1,241,7,"Pearl Harbor follows the story of two best friends, Rafe and Danny, and their love lives as they go off to join the war.",183,3,151500000,450500000,4,1
10,Transformers,2007-07-27 00:00:00.000,18,1,241,8,"A war re-erupts on Earth between two robotic clans, the heroic Autobots and the evil Decepticons, leaving the fate of mankind hanging in the balance.",144,4,151000000,707675744,3,0
11,Harry Potter and the Order of the Phoenix,2007-07-12 00:00:00.000,19,1,240,6,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",138,4,150000000,938454486,0,0
12,Beowulf,2007-11-16 00:00:00.000,20,1,241,2,"The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing towns, and later, Grendel's mother, who begins killing out of revenge.",113,4,150000000,194995215,0,0
13,Bee Movie,2007-12-14 00:00:00.000,21,1,241,8,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",90,1,150000000,286758211,0,0
14,Pirates of the Caribbean: At World's End,2007-05-24 00:00:00.000,22,1,241,3,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, and make their final alliances for one last decisive battle.",168,4,150000000,952404152,2,0
15,I am Legend,2007-12-26 00:00:00.000,23,1,241,6,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",101,5,150000000,583527323,0,0
