Id,Name
1,Universal Pictures
2,Paramount Pictures
3,Walt Disney Pictures
4,20th Century Fox
5,Columbia Pictures
6,Warner Bros. Pictures
7,Touchstone Pictures
8,Dreamworks
9,ImageMovers
10,Disney Pixar
11,MGM
12,Chris Lee Productions
13,Lucasfilm
14,New Line Cinema
15,Carolco Pictures
16,Miramax Films
17,Jerry Bruckheimer Films
18,Gaumont
19,Revolution Studios
20,Imagine Entertainment
21,Morgan Creek Productions
22,United Artists
23,Dimension Films
24,Braveworld Productions
25,Icon Productions
26,Carolina Bank
27,Tig Productions
28,Dune Entertainment
29,Beijing New Picture Film Co.
30,Big Talk Productions
31,Malpaso Company
32,British Film Council
33,Channel Four Films
34,Constantin Film
35,Bavaria Film
36,Bayerischer Rundfunk
37,RKO Radio Pictures
38,Toho Company
39,Kathbur Pictures
40,Avalon Studios
